Team + Rank,Minutes Rank,Player,Class,Pos,School,Conf,G,MP,Totals FG,Totals FGA,Totals 2P,Totals 2PA,Totals 3P,Totals 3PA,Totals FT,Totals FTA,Totals ORB,Totals DRB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Totals PTS
Abilene Christian1,1,Tevin Foster,SR,G,Abilene Christian,Southland,31,1004,116,272,71,135,45,137,105,131,19,73,92,108,44,4,83,72,382
Abilene Christian2,2,Jaylen Franklin,JR,G,Abilene Christian,Southland,31,1003,140,251,136,231,4,20,48,89,34,89,123,140,57,6,84,76,332
Abilene Christian3,3,Jaren Lewis,JR,G,Abilene Christian,Southland,31,955,153,273,140,241,13,32,90,114,73,160,233,57,48,29,70,73,409
Abilene Christian4,4,Jalone Friday,SO,C,Abilene Christian,Southland,31,687,154,337,110,211,44,126,59,84,36,121,157,16,9,45,49,107,411
Abilene Christian5,5,Payten Ricks,SO,G,Abilene Christian,Southland,25,558,50,132,25,65,25,67,38,51,6,38,44,42,18,1,31,42,163
Abilene Christian6,6,Drake Green,SR,G,Abilene Christian,Southland,31,494,46,107,15,23,31,84,6,7,2,33,35,26,15,1,24,57,129
Abilene Christian7,7,Isaiah Tripp,SR,G,Abilene Christian,Southland,27,324,26,70,13,33,13,37,11,16,4,23,27,23,16,1,15,24,76
Abilene Christian8,8,Hayden Howell,JR,F,Abilene Christian,Southland,31,306,47,84,43,75,4,9,18,30,18,41,59,9,7,4,27,54,116
Abilene Christian9,9,Hayden Farquhar,JR,F,Abilene Christian,Southland,31,298,42,111,26,41,16,70,10,17,16,61,77,11,13,9,18,40,110
Abilene Christian10,10,B.J. Maxwell,SO,G,Abilene Christian,Southland,30,283,39,83,28,54,11,29,7,14,23,37,60,19,7,10,15,50,96
Abilene Christian11,11,Trey Lenox,SO,G,Abilene Christian,Southland,28,169,7,20,7,15,0,5,2,5,3,18,21,9,13,0,10,27,16
Abilene Christian12,12,Kolton Kohl,FR,C,Abilene Christian,Southland,24,102,15,35,15,35,0,0,9,18,8,14,22,3,0,10,8,23,39
Abilene Christian13,13,Chase Cobb,SO,G,Abilene Christian,Southland,6,22,1,9,1,2,0,7,0,0,1,1,2,4,1,0,4,3,2
Abilene Christian14,14,Paul Hiepler,FR,G,Abilene Christian,Southland,4,20,2,3,1,1,1,2,0,0,1,2,3,0,1,0,1,0,5
Air Force1,1,Trevor Lyons,SR,G,Air Force,MWC,31,1012,95,242,62,153,33,89,69,94,18,128,146,102,43,2,64,67,292
Air Force2,2,Lavelle Scottie,SO,F,Air Force,MWC,31,826,145,317,108,212,37,105,50,69,46,90,136,43,22,14,68,72,377
Air Force3,3,Ryan Swan-Ford,SO,F,Air Force,MWC,31,657,102,214,81,166,21,48,61,82,53,87,140,42,19,17,35,71,286
Air Force4,4,Keaton Van Soelen,FR,G,Air Force,MWC,28,515,37,90,31,54,6,36,20,30,29,50,79,32,12,11,21,31,100
Air Force5,5,Sid Tomes,SO,G,Air Force,MWC,29,507,47,121,16,32,31,89,11,16,8,38,46,35,21,4,22,36,136
Air Force6,6,Jacob Van,SR,G,Air Force,MWC,31,481,44,123,18,52,26,71,48,54,4,32,36,35,16,2,33,30,162
Air Force7,7,Ryan Manning,SR,F,Air Force,MWC,28,446,58,152,28,53,30,99,29,38,25,59,84,15,10,5,24,35,175
Air Force8,8,Frank Toohey,SR,C,Air Force,MWC,31,426,45,107,30,70,15,37,46,55,38,43,81,26,12,8,30,65,151
Air Force9,9,C.J. Siples,SR,G,Air Force,MWC,30,421,38,97,28,48,10,49,10,18,8,32,40,45,28,5,28,47,96
Air Force10,10,Pervis Louder,JR,G,Air Force,MWC,16,291,35,92,27,55,8,37,23,35,10,29,39,28,8,3,22,37,101
Air Force11,11,Caleb Morris,SO,G,Air Force,MWC,23,278,39,90,21,38,18,52,17,24,7,45,52,20,3,2,14,27,113
Air Force12,12,Dane Norman,JR,F,Air Force,MWC,21,133,14,32,8,13,6,19,6,10,8,20,28,5,0,1,11,20,40
Air Force13,13,Jonathan DeWane,SO,F,Air Force,MWC,21,110,24,42,18,32,6,10,8,12,7,18,25,6,4,3,4,11,62
Air Force14,14,Christopher Joyce,FR,G,Air Force,MWC,10,46,2,13,1,6,1,7,1,4,3,4,7,5,1,0,1,3,6
Air Force15,15,LeSean Brown,SO,G,Air Force,MWC,14,44,3,10,3,6,0,4,8,13,2,1,3,3,0,0,1,3,14
Air Force16,16,Ameka Akaya,,F,Air Force,MWC,7,19,2,5,1,4,1,1,0,0,3,1,4,3,1,1,0,1,5
Air Force17,17,Charles O'Briant,,F,Air Force,MWC,2,4,1,1,0,0,1,1,1,2,0,1,1,0,0,0,0,1,4
Air Force18,18,Kobi Betts,,G,Air Force,MWC,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Air Force19,19,James Edwards,,G,Air Force,MWC,1,3,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2
